street_id,road_name,road_type,locality_name
247,ADAM,COURT,SPRINGVALE SOUTH
248,ADAM,COURT,VIEWBANK
249,ADAM,COURT,WERRIBEE
250,ADAM,CRESCENT,MONTMORENCY
251,ADAM,PLACE,MILL PARK
252,ADAM,STREET,BENTLEIGH
253,ADAM,STREET,BURNLEY
254,ADAM,STREET,NUNAWADING
255,ADAM,STREET,RYE
256,ADAMS,AVENUE,GLEN WAVERLEY
257,ADAMS,AVENUE,ROSEBUD
258,ADAMS,COURT,SUNBURY
259,ADAMS,COURT,SUNSHINE WEST
260,ADAMS,LANE,MOUNT EVELYN
261,ADAMS,LANE,YARRA JUNCTION
262,ADAMS,PLACE,MOUNT EVELYN
263,ADAMS,STREET,ALPHINGTON
264,ADAMS,STREET,MURRUMBEENA
265,ADAMS,STREET,PRESTON
266,ADAMS,STREET,SOUTH YARRA
267,ADAMS,STREET,ST ALBANS
268,ADAMSON,DRIVE,ENDEAVOUR HILLS
269,ADAMSON,ROAD,BEACONSFIELD
270,ADAMSON,STREET,BRAYBROOK
271,ADAMSON,STREET,BRIGHTON
272,ADAMSON,STREET,HEIDELBERG
273,ADARE,COURT,BERWICK
274,ADARE,PLACE,WERRIBEE
275,ADARE,RISE,ROXBURGH PARK
276,ADAVALE,AMBLE,TARNEIT
277,ADDAI,STREET,GREENVALE
278,ADDERLEY,COURT,BURNSIDE HEIGHTS
279,ADDERLEY,COURT,POINT COOK
280,ADDERLEY,DRIVE,GREENVALE
281,ADDERLEY,STREET,DOCKLANDS
282,ADDERLEY,STREET,WEST MELBOURNE
283,ADDICOTT,LANE,FRANKSTON
284,ADDICOTT,STREET,FRANKSTON
285,ADDICOTT,WAY,TAYLORS HILL
286,ADDISON,AVENUE,TARNEIT
287,ADDISON,CLOSE,OFFICER
288,ADDISON,COURT,MULGRAVE
289,ADDISON,PLACE,SEABROOK
290,ADDISON,STREET,ELWOOD
291,ADDISON,STREET,MOONEE PONDS
292,ADDISON,WAY,ROXBURGH PARK
293,ADDLINGTON,COURT,NARRE WARREN SOUTH
294,ADECROFT,COURT,ELTHAM
295,ADELA,COURT,MULGRAVE
296,ADELA,LANE,DOCKLANDS
