street_id,mb_code16,n_addresses
638,20431210000,9
638,20434990000,3
638,20435000000,9
638,20435010000,3
639,20278321000,22
640,20056270000,11
640,20057110000,7
641,20630045000,5
642,20631979930,32
643,20631953690,2
644,20631956580,6
645,20656050000,5
645,20656670000,7
646,20461380000,10
647,20516970000,9
648,20652920000,13
649,20115460000,4
650,20232090000,9
651,20632005110,12
652,20077920000,17
652,20081450000,8
653,20636074500,7
653,20636074600,10
654,20365010000,20
655,20402660000,13
656,20176900000,11
657,20595410000,2
658,20328640000,12
658,20330560000,10
659,20631959340,1
660,20440520000,1
660,20441120000,10
660,20631930740,11
661,20334970000,7
662,20285310000,68
663,20276160000,6
663,20280380000,10
664,20128200000,4
665,20624320000,17
666,20631938780,1
666,20631955190,5
666,20631979640,1
666,20632005450,43
667,20631954620,10
668,20606930000,7
668,20606940000,13
668,20607540000,13
668,20607930000,12
669,20631922750,1
669,20631926320,8
669,20631950070,4
669,20631953670,2
669,20631981650,14
669,20631999960,12
669,20632000590,2
669,20633582200,9
669,20633585200,5
669,20633586000,18
669,20633587000,8
670,20116560000,15
670,20118070000,7
671,20191300000,4
672,20372940000,14
672,20377420000,1
672,20377930000,2
673,20498720000,2
673,20500120000,37
673,20501170000,19
673,20502300000,23
673,20503110000,38
673,20503520000,28
674,20318051000,3
674,20318751000,3
675,20311510000,9
675,20318051000,1
675,20318052000,2
675,20319680000,7
676,20061310000,2
676,20061700000,2
676,20063910000,12
676,20064290000,9
676,20064520000,15
676,20065540000,10
676,20065560000,36
676,20066130000,1
677,20385960000,23
678,20384020000,24
678,20385530000,11
679,20015510000,8
679,20015520000,5
679,20015590000,3
679,20016750000,5
679,20016760000,9
679,20016780000,11
679,20017920000,6
679,20017930000,11
679,20018880000,18
679,20018900000,5
679,20019750000,4
679,20021270000,13
680,20226730000,28
680,20226940000,15
680,20228520000,24
680,20228920000,15
680,20230490000,53
680,20232520000,47
681,20151340000,14
682,20025980000,4
683,20224130000,10
684,20418901000,21
685,20647120000,5
685,20647170000,17
685,20647180000,1
685,20647190000,16
686,20340630000,8
687,20357190000,10
