mb_code16,lon,lat
20020340000,145.0729748571,-37.7179715657
20020350000,145.0339953006,-37.7640701180
20020360000,145.0428739963,-37.7714235916
20020370000,145.0522373557,-37.7710387803
20020380000,145.0546645978,-37.7658729737
20020391000,145.0449110511,-37.7659570506
20020392000,145.0440710704,-37.7669532575
20020393000,145.0433287861,-37.7677864747
20020410000,145.0617559014,-37.7507800554
20020420000,145.0476051412,-37.7546064061
20020430000,145.0450983187,-37.7593562910
20020440000,145.0451965755,-37.7444069145
20020450000,145.0441650273,-37.7469065731
20020460000,145.0612282575,-37.7381274258
20020470000,145.0774013307,-37.7233086580
20020480000,145.0652197100,-37.7265756828
20020490000,145.0746987084,-37.7267622133
20020500000,145.0703053401,-37.7183575951
20020510000,145.0781410378,-37.7181030329
20020520000,145.0376368277,-37.7401387583
20020530000,145.0660763360,-37.7707020142
20020830000,145.0356896349,-37.7734713355
20020760000,145.0349105131,-37.7434931533
20020770000,145.0335545171,-37.7509723013
20020780000,145.0330450799,-37.7534095883
20020790000,145.0336844096,-37.7497410577
20020800000,145.0323492671,-37.7681557436
20020810000,145.0344884270,-37.7698354799
20019820000,145.0657770251,-37.7690922817
20019830000,145.0388771261,-37.7704598154
20019840000,145.0571632441,-37.7593917706
20020840000,145.0391266689,-37.7729061780
20020850000,145.0361419349,-37.7776514940
20020860000,145.0394210345,-37.7780251294
20020870000,145.0376414805,-37.7786963350
20020880000,145.0387587945,-37.7812371943
20020540000,145.0652347551,-37.7597612296
20020550000,145.0512499391,-37.7542081459
20020560000,145.0657127417,-37.7465064659
20020580000,145.0864219117,-37.7415980864
20020590000,145.0749431739,-37.7326398111
20020060000,145.0520797175,-37.7465086562
20020600000,145.0731469233,-37.7349687927
20020610000,145.0607112245,-37.7701184004
20020620000,145.0724088189,-37.7383054078
20020630000,145.0741126674,-37.7424450898
20020640000,145.0797705591,-37.7410088160
20020650000,145.0844802059,-37.7349330434
20021390000,145.0450294612,-37.7690753876
20021400000,145.0448846799,-37.7682393134
20021411000,145.0416498232,-37.7689698534
20021412000,145.0409212145,-37.7700265301
20020670000,145.0391009626,-37.7351119387
20020680000,145.0362812076,-37.7373971963
20020690000,145.0363457189,-37.7398524366
20020700000,145.0375583683,-37.7391019639
20020220000,145.0545215794,-37.7394570773
20020710000,145.0329983833,-37.7570947011
20020720000,145.0301826713,-37.7589559256
20020730000,145.0311476191,-37.7595320685
20020740000,145.0364612169,-37.7432180159
20020750000,145.0355157757,-37.7413249493
20019970000,145.0689351382,-37.7615818313
20019980000,145.0624443256,-37.7607769653
20019990000,145.0537918960,-37.7512918409
20020000000,145.0575687183,-37.7541745154
20020010000,145.0522138861,-37.7584495286
20020020000,145.0485761963,-37.7581388370
20020030000,145.0441691646,-37.7427400021
20020040000,145.0484240976,-37.7477313125
20020050000,145.0452862360,-37.7472696116
20020070000,145.0714486544,-37.7405515751
20020080000,145.0631066953,-37.7462778206
20020090000,145.0641126205,-37.7442932073
20020100000,145.0710567832,-37.7441000003
20020110000,145.0719999577,-37.7378343513
20020120000,145.0828992541,-37.7391438812
20020130000,145.0885737429,-37.7397700958
20020140000,145.0932191306,-37.7408260967
20020150000,145.0454545828,-37.7315900367
20020160000,145.0512608476,-37.7305642915
20020170000,145.0459691375,-37.7361830504
20020180000,145.0553144927,-37.7358258068
20020190000,145.0619318195,-37.7381890616
20020200000,145.0586740146,-37.7384670418
20020210000,145.0445554184,-37.7393954483
20020230000,145.0490034976,-37.7382133023
20020240000,145.0740150176,-37.7317119460
20020250000,145.0883439245,-37.7301598507
20020260000,145.0931707270,-37.7320581349
20021020000,145.1024958817,-37.7314997225
20021030000,145.1046469533,-37.7306600417
20021040000,145.1084957570,-37.7208519204
20021050000,145.1053575761,-37.7212762577
20021060000,145.1034026021,-37.7204587620
20021070000,145.1014541986,-37.7195142070
20021080000,145.0951283948,-37.7180988939
20021090000,145.0857040772,-37.7184601257
20021100000,145.0838357646,-37.7185356154
20021110000,145.0821821141,-37.7183488116
20021120000,145.0743410531,-37.7188378555
20021130000,145.0795375186,-37.7171010606
20021140000,145.0753309848,-37.7171498514
20021150000,145.0663284056,-37.7216617353
20021160000,145.0678022112,-37.7205976520
20021170000,145.0622891121,-37.7252426854
20021180000,145.0643030317,-37.7250115317
20021190000,145.0667401259,-37.7253571936
20021200000,145.0614459148,-37.7287859115
20021210000,145.0617426210,-37.7269589163
20021220000,145.0596314518,-37.7303486553
20021230000,145.0544081005,-37.7295063083
20021240000,145.0477056524,-37.7288683496
20021250000,145.0429257102,-37.7307414417
20021260000,145.0415491888,-37.7346565596
20021511000,145.0638306016,-37.7741662906
20021512000,145.0649140743,-37.7734450787
20021520000,145.0490556764,-37.7599900107
20021530000,145.0489753793,-37.7617129617
20021540000,145.0504817745,-37.7620761154
20021550000,145.0487636223,-37.7632906320
20021560000,145.0666076056,-37.7627959479
20021570000,145.0649510503,-37.7586578743
20021580000,145.0611564578,-37.7582975653
20021590000,145.0618709560,-37.7593700380
20020820000,145.0373990846,-37.7725998824
20021610000,145.0586398274,-37.7564181290
20021620000,145.0610063906,-37.7572898788
20021630000,145.0594162269,-37.7535467770
20021640000,145.0596865558,-37.7499823011
20021650000,145.0570009198,-37.7487417632
20021660000,145.0568337803,-37.7468607987
20021670000,145.0585578797,-37.7459311948
