mb_code16,lon,lat
20021690000,145.0595732490,-37.7472054963
20021700000,145.0610132385,-37.7479639275
20021710000,145.0666449159,-37.7533585274
20021720000,145.0649282213,-37.7528852091
20021730000,145.0637607747,-37.7549632821
20021740000,145.0617884132,-37.7541024795
20021750000,145.0602729680,-37.7543248787
20021761000,145.0612216588,-37.7549719622
20021762000,145.0626654801,-37.7551799593
20021770000,145.0632646233,-37.7542950834
20021780000,145.0661551270,-37.7546680783
20021270000,145.0418058102,-37.7342021227
20021280000,145.0367921672,-37.7500663179
20021290000,145.0377299820,-37.7475917245
20021300000,145.0393696914,-37.7607897144
20021310000,145.0378428849,-37.7610348483
20021320000,145.0360977831,-37.7592219349
20021330000,145.0387028269,-37.7594973469
20021340000,145.0386468703,-37.7720559171
20021350000,145.0395786944,-37.7717655475
20021360000,145.0511705545,-37.7746428932
20021370000,145.0463941389,-37.7705526264
20021380000,145.0449084892,-37.7697712120
20022410000,145.0953219635,-37.7302982930
20021420000,145.0419610847,-37.7701097521
20021430000,145.0468634808,-37.7672452715
20021440000,145.0528689628,-37.7661495380
20021450000,145.0563580346,-37.7718047305
20021461000,145.0581240002,-37.7729356694
20021462000,145.0594504660,-37.7731018051
20021463000,145.0600251921,-37.7726199421
20021464000,145.0586619713,-37.7725114608
20021470000,145.0566853995,-37.7772074148
20021480000,145.0550764920,-37.7773559549
20021490000,145.0608765517,-37.7767198149
20021500000,145.0638674174,-37.7764208688
20020940000,145.0841023730,-37.7467673021
20020890000,145.0415306710,-37.7815370441
20020900000,145.0532770315,-37.7802154511
20020910000,145.0660471520,-37.7825589575
20020920000,145.0748465221,-37.7635341369
20020930000,145.0760107810,-37.7595140744
20020950000,145.0899600502,-37.7474294841
20020960000,145.0902582122,-37.7456238665
20020970000,145.0909242876,-37.7423241579
20020980000,145.0891237518,-37.7421273900
20020990000,145.0932521657,-37.7433103107
20021001000,145.0917697395,-37.7419230264
20021002000,145.0907149394,-37.7439396491
20021010000,145.0956645122,-37.7464628341
20022060000,145.0727235238,-37.7295687676
20022070000,145.0715324296,-37.7267979533
20022080000,145.0726695135,-37.7270573340
20022090000,145.0796957389,-37.7249436789
20022100000,145.0780524051,-37.7248104899
20022110000,145.0742488293,-37.7230464898
20023020000,145.0496525164,-37.7462187155
20022120000,145.0757812142,-37.7227781293
20022130000,145.0767459817,-37.7219820384
20022150000,145.0787252529,-37.7375853676
20022160000,145.0767419504,-37.7380042187
20022170000,145.0771858292,-37.7391683127
20022180000,145.0790033055,-37.7356125043
20022190000,145.0798173803,-37.7348685753
20022200000,145.0805123266,-37.7326756861
20022210000,145.0793933575,-37.7339720458
20022220000,145.0818843011,-37.7315536340
20022240000,145.0851001969,-37.7289213056
20022250000,145.0887754688,-37.7292109299
20022260000,145.0919182884,-37.7280368763
20022650000,145.0541521115,-37.7555653584
20022270000,145.0969566680,-37.7262060145
20022280000,145.0989718649,-37.7270138923
20022290000,145.1036021279,-37.7237952701
20022300000,145.1005831945,-37.7248424272
20022310000,145.1009742329,-37.7224590009
20022560000,145.0533467353,-37.7416340152
20022570000,145.0547883070,-37.7415128639
20022580000,145.0546695605,-37.7423031300
20022590000,145.0514302819,-37.7356154029
20022600000,145.0520830454,-37.7369856000
20022610000,145.0556376469,-37.7434595811
20022620000,145.0590989855,-37.7450871583
20022630000,145.0571094470,-37.7453836983
20022640000,145.0582237782,-37.7329267909
20022661000,145.0517710312,-37.7536541174
20021601000,145.0635686045,-37.7563333921
20021602000,145.0625294940,-37.7572350021
20023240000,145.0642798067,-37.7383350951
20023250000,145.0648706939,-37.7380086404
20023260000,145.0456006668,-37.7647279672
20023270000,145.0312241790,-37.7636361013
